date,3005_Turnover,3005_Volume,3005_close,3005_eps,3005_high,3005_low,3005_open,3005_ups_and_downs,3005_ups_percent
7824,101451.0,2276.0,44.85,12.493,45.2,43.5,43.85,1.55,3.58
7496,23569.0,571.0,41.2,11.91,41.5,41.1,41.5,0.1,0.24
7467,64815.0,1400.0,46.4,13.65,46.6,45.3,45.45,0.7,1.53
7071,68635.0,1734.0,39.7,10.26,39.9,39.0,39.0,0.7,1.79
7125,68969.0,1777.0,38.6,9.97,39.2,38.6,39.0,-0.35,-0.9
6985,76947.0,1739.0,44.15,16.66,44.6,44.05,44.3,-0.55,-1.23
6945,216320.0,4729.0,45.5,17.17,47.0,45.3,46.8,,-2.36
7391,33435.0,791.0,42.15,12.51,42.8,42.05,42.8,-0.65,-1.52
7447,44648.0,1014.0,43.85,12.9,44.7,43.85,44.55,-0.45,-1.02
7648,26615.0,628.0,42.3,11.56,43.1,42.1,42.9,-0.6,-1.4
8063,68091.0,1375.0,49.8,14.2693,49.85,48.9,49.0,0.65,1.32
7662,142698.0,3148.0,45.35,12.39,45.9,44.75,45.05,0.75,1.68
6819,232251.0,6113.0,38.05,16.76,38.35,37.5,38.0,0.35,0.93
7350,59487.0,1347.0,44.0,10.58,44.85,44.0,44.8,-0.5,-1.12
7924,25177.0,521.0,,13.0759,48.6,48.2,48.6,-0.35,-0.72
7862,496577.0,10129.0,48.45,13.1301,49.75,47.9,48.0,0.9,1.89
7587,30214.0,798.0,38.15,11.03,38.25,37.45,38.25,0.0,0.0
7166,,3467.0,41.35,10.42,,41.3,42.4,-1.05,-2.48
7952,101637.0,2128.0,47.45,13.595999999999998,,47.2,48.3,-1.1,-2.27
7817,60258.0,1289.0,46.75,13.0223,47.0,46.55,46.65,0.0,0.0
7062,82567.0,2062.0,39.8,,40.35,39.8,40.3,-0.45,-1.12
7250,81426.0,1910.0,42.5,10.22,43.15,42.3,43.0,-0.45,-1.05
6858,177671.0,4649.0,38.4,14.49,38.8,37.2,37.35,0.9,2.4
7848,149286.0,3223.0,46.7,13.0084,46.95,45.7,46.1,0.1,0.21
7971,17511.0,378.0,46.3,13.2665,46.5,46.2,46.2,0.1,0.22
7749,53253.0,1144.0,46.45,12.1597,46.8,46.4,46.6,-0.35,-0.75
7435,57858.0,1307.0,44.05,12.96,45.05,44.0,44.5,-0.55,-1.23
7657,35183.0,841.0,41.75,11.41,42.3,41.5,41.5,-0.1,-0.24
6873,317270.0,7945.0,40.45,15.26,40.45,39.05,39.05,1.45,3.72
7868,113495.0,2326.0,48.95,13.2656,49.2,48.45,48.6,0.45,0.93
7098,162305.0,3941.0,41.2,10.65,41.45,40.9,41.15,0.3,0.73
7426,64774.0,1455.0,44.45,13.07,44.8,44.15,44.15,0.6,1.37
7861,266223.0,5647.0,47.55,12.8862,47.95,45.45,45.5,1.55,3.37
7893,47306.0,1012.0,46.75,12.6694,47.2,46.45,46.8,-0.05,-0.11
7475,41441.0,886.0,46.65,13.72,47.0,46.2,46.7,0.05,0.11
7544,36850.0,901.0,41.2,11.91,41.3,40.25,40.4,0.55,1.35
7741,74777.0,1542.0,48.4,12.6702,48.8,48.25,48.65,-0.25,-0.51
8030,129726.0,2620.0,49.7,14.2407,50.0,48.3,48.3,0.6,1.22
7335,38143.0,895.0,42.4,10.19,42.85,42.2,42.2,0.0,0.0
7265,107768.0,2478.0,43.6,10.48,43.85,42.9,43.0,0.6,1.4
7911,34710.0,730.0,47.45,12.8591,48.05,47.35,48.0,-0.5,-1.04
7049,103002.0,2562.0,40.2,10.39,40.6,39.9,39.95,0.35,0.88
7288,266393.0,6008.0,44.1,10.6,44.65,43.75,44.1,0.3,0.68
7068,110670.0,2783.0,39.7,10.26,40.05,39.65,40.0,-0.4,-1.0
7811,134337.0,2877.0,46.45,12.9387,47.5,46.25,47.25,-1.15,-2.42
7357,184225.0,4367.0,41.85,10.06,43.3,41.7,43.15,-1.35,-3.13
7398,22182.0,529.0,42.1,12.49,42.15,41.8,41.9,0.2,0.48
6921,188315.0,4341.0,43.25,16.32,44.2,42.8,43.55,-0.3,-0.69
6868,161723.0,4242.0,37.6,14.19,38.95,37.6,38.4,-0.95,-2.46
7973,31081.0,674.0,46.1,13.2092,46.3,46.0,46.0,0.05,0.11
7655,14943.0,347.0,42.85,11.71,43.35,42.85,43.0,-0.15,-0.35
7575,20910.0,563.0,37.05,10.71,37.35,36.9,37.3,0.05,0.14
7746,119152.0,2577.0,46.4,12.1466,46.7,45.75,46.7,-0.4,-0.85
7711,103783.0,2042.0,51.0,13.3508,51.7,50.0,50.7,0.3,0.59
